Shipment_ID,Route_Type,Distance_km,Delivery_Time_min,On_Time,Delay_Minutes,Vehicle_Type,Day_of_Week,Region,Fuel_Cost
33,Rural,31.38,1086.66,1,162.46,Van,Fri,South,1652.25
34,Rural,777.92,154.05,1,25.07,Truck,Thu,East,285.06
35,Highway,796.71,610.59,1,291.62,Truck,Sat,North,4711.41
36,Rural,604.32,790.39,1,123.29,Van,Thu,West,892.25
37,Highway,449.6,1263.35,1,94.9,Bike,Fri,East,2151.6
38,Highway,1024.18,1102.14,0,157.56,Bike,Sun,West,3225.16
39,Urban,315.65,572.96,1,19.5,Truck,Mon,West,2334.43
40,Highway,1199.43,990.55,1,255.14,Bike,Thu,South,2705.88
41,Urban,1205.54,878.06,1,138.08,Van,Wed,West,1059.89
42,Highway,625.82,215.3,0,53.5,Bike,Thu,North,381.79
43,Highway,428.9,375.24,1,48.52,Van,Sun,East,1324.07
44,Urban,429.4,531.45,0,108.29,Truck,Tue,North,1619.92
45,Urban,726.03,317.36,1,172.01,Bike,Wed,North,2108.28
46,Highway,1080.77,250.7,1,125.07,Van,Wed,South,1514.95
47,Rural,541.51,115.55,1,179.04,Truck,Mon,East,227.26
48,Urban,917.01,1313.46,1,211.64,Van,Tue,East,518.31
49,Rural,576.81,454.75,1,224.55,Bike,Tue,North,3385.4
50,Rural,460.26,456.77,1,120.29,Van,Tue,East,362.61
51,Rural,42.16,333.16,0,215.1,Truck,Thu,West,278.76
52,Urban,10.85,728.83,0,42.45,Truck,Sun,East,4068.34
53,Rural,344.68,785.94,1,153.93,Bike,Thu,East,254.16
54,Urban,612.58,336.17,1,21.75,Truck,Wed,West,390.23
55,Rural,1277.64,924.6,1,73.23,Bike,Mon,West,2770.09
56,Highway,1198.73,1092.81,1,174.96,Truck,Thu,West,2242.08
57,Highway,404.41,579.54,1,222.13,Bike,Sat,West,4824.04
58,Urban,370.59,890.61,1,28.59,Truck,Sat,East,4687.39
59,Highway,344.85,768.38,1,62.12,Bike,Thu,South,3318.08
60,Highway,512.16,317.46,1,297.57,Van,Sun,South,405.74
61,Rural,749.81,1103.12,1,101.3,Van,Mon,West,2540.79
62,Urban,660.81,1208.14,1,85.21,Bike,Sun,East,273.08
63,Rural,331.32,983.73,1,25.58,Truck,Tue,East,4544.29
64,Rural,200.02,506.13,1,208.45,Truck,Wed,East,3316.92
65,Rural,23.8,1392.38,1,152.48,Bike,Thu,East,2890.79
66,Rural,235.18,699.38,1,47.27,Truck,Mon,East,2168.12
67,Rural,1059.51,420.84,1,189.87,Bike,Mon,South,2573.1
68,Rural,369.24,630.1,1,157.73,Van,Sun,North,2031.46
69,Rural,705.56,1047.35,1,169.48,Bike,Tue,North,543.09
70,Urban,889.0,1273.52,1,298.46,Truck,Sun,North,3321.88
71,Highway,1330.83,554.17,1,8.58,Truck,Sun,West,4982.23
72,Rural,1333.84,371.96,1,274.49,Bike,Fri,West,606.84
73,Rural,1119.87,950.94,1,252.57,Bike,Sun,South,4971.2
74,Rural,57.56,1384.19,0,124.6,Bike,Fri,South,4503.08
75,Rural,864.73,299.44,1,264.28,Bike,Fri,East,4476.21
76,Rural,1180.94,1210.44,0,194.57,Van,Sun,South,4164.68
77,Rural,30.85,730.61,1,266.81,Truck,Fri,West,4621.59
78,Highway,826.78,1205.28,1,178.42,Truck,Thu,South,1269.8
79,Highway,1287.36,773.15,1,64.84,Bike,Sun,East,2213.9
80,Rural,713.78,584.67,1,172.87,Bike,Sat,East,2425.08
81,Highway,11.14,1054.21,0,53.72,Bike,Sat,East,386.5
82,Urban,21.46,1353.92,1,42.25,Van,Mon,West,4905.73
83,Rural,627.87,500.77,0,196.22,Van,Sat,North,3462.74
84,Urban,236.74,707.3,0,284.24,Bike,Sat,North,2285.27
85,Urban,998.35,367.22,0,176.55,Truck,Wed,West,4961.69
86,Rural,1064.65,299.61,1,238.74,Van,Sun,East,1397.38
87,Highway,270.93,1173.5,1,50.51,Truck,Sat,East,1718.25
88,Urban,1333.36,324.98,1,196.26,Van,Sat,West,994.73
89,Rural,665.65,1196.18,0,219.89,Bike,Sun,North,973.23
90,Urban,218.55,660.95,1,12.48,Bike,Sun,East,982.98
91,Urban,1147.56,1492.72,1,29.15,Truck,Sat,East,3073.64
92,Urban,1186.01,320.09,0,234.47,Bike,Thu,North,1505.97
93,Urban,960.75,166.68,1,131.99,Truck,Fri,West,4761.05
94,Highway,1280.93,140.89,1,121.67,Bike,Wed,South,4092.79
95,Urban,1107.37,1258.06,1,276.11,Bike,Wed,East,847.97
96,Urban,1323.9,673.53,1,297.59,Truck,Sat,North,4178.2
97,Urban,653.66,34.59,1,229.32,Bike,Sat,West,1761.01
98,Highway,1122.66,1315.91,1,237.78,Van,Fri,North,1177.45
99,Urban,1499.63,1319.07,1,62.5,Bike,Wed,North,3921.25
100,Urban,1088.77,1215.43,0,57.67,Truck,Thu,South,4292.14
101,Highway,175.7,395.03,1,294.2,Bike,Tue,East,4804.22
102,Highway,779.89,577.95,1,208.53,Van,Thu,East,2130.08
103,Highway,883.08,1125.04,1,206.01,Bike,Thu,East,2832.45
104,Urban,265.44,749.35,1,85.86,Bike,Tue,South,3093.84
105,Highway,1444.52,256.13,1,265.94,Van,Fri,North,3157.14
106,Highway,267.49,386.91,0,13.33,Bike,Fri,West,2040.67
107,Urban,270.45,1459.71,1,82.38,Bike,Sun,North,804.13
108,Highway,1373.17,251.99,1,54.04,Truck,Tue,East,398.71
109,Urban,700.48,1097.34,1,213.33,Truck,Sat,South,4534.64
110,Rural,99.47,732.69,1,214.6,Truck,Sun,North,1864.43
111,Highway,899.29,1130.44,0,160.42,Truck,Thu,South,944.4
112,Rural,904.73,1001.84,1,1.58,Van,Mon,West,4918.68
113,Urban,101.43,675.58,1,262.13,Truck,Wed,West,4024.39
114,Highway,1458.92,550.25,1,286.68,Truck,Wed,East,4906.86
115,Urban,818.32,1138.91,1,60.69,Bike,Wed,South,1430.09
116,Rural,841.89,505.02,1,252.67,Van,Mon,East,2343.08
117,Urban,782.57,1188.02,0,291.99,Van,Thu,South,4053.03
118,Highway,918.04,1029.37,0,98.09,Truck,Fri,South,2781.86
119,Highway,400.13,879.17,1,55.52,Bike,Sat,West,1807.07
120,Rural,434.43,572.14,1,293.26,Van,Tue,North,834.21
121,Urban,769.45,331.47,1,17.92,Van,Wed,North,2830.74
122,Highway,1211.0,1074.32,1,82.79,Truck,Sat,West,3012.02
123,Rural,79.55,164.28,0,222.61,Truck,Mon,West,3617.7
124,Highway,907.09,1456.7,1,185.21,Truck,Sat,South,3963.1
125,Highway,1211.13,1468.76,1,205.35,Bike,Tue,North,634.64
126,Urban,239.59,221.43,1,212.43,Truck,Thu,East,3158.37
127,Highway,27.46,182.78,0,205.84,Van,Mon,East,3918.13
128,Urban,472.51,636.69,1,102.67,Van,Sat,North,1975.58
129,Highway,884.27,1446.61,0,93.45,Truck,Mon,North,1414.06
130,Rural,211.73,618.46,1,128.54,Van,Tue,North,2424.29
131,Highway,642.05,564.79,1,242.31,Bike,Tue,South,1584.93
132,Urban,830.72,1064.27,1,281.48,Truck,Wed,West,2573.78
133,Urban,900.33,292.73,1,136.57,Van,Thu,West,1577.04
134,Rural,415.25,564.09,1,25.73,Van,Tue,South,2142.37
135,Highway,603.04,458.22,1,281.49,Truck,Wed,East,4579.93
136,Highway,1168.62,914.26,0,24.13,Van,Sat,South,4587.2
137,Rural,1412.12,269.25,1,47.73,Van,Wed,North,4961.29
138,Highway,1293.51,836.59,0,260.3,Truck,Tue,West,2456.31
139,Highway,848.6,1290.59,1,165.44,Bike,Mon,West,881.79
140,Urban,618.39,785.83,1,105.81,Van,Sat,South,4450.68
141,Highway,502.77,1034.74,1,279.27,Bike,Mon,West,3004.37
142,Highway,191.81,140.61,0,288.15,Bike,Mon,South,3751.21
143,Rural,164.29,690.04,1,99.23,Bike,Wed,West,854.84
144,Rural,1034.09,169.49,1,260.53,Bike,Mon,South,1632.51
145,Urban,393.39,911.21,1,203.56,Bike,Thu,North,1412.33
146,Highway,385.72,443.15,1,82.35,Van,Mon,South,2820.79
147,Highway,1497.3,452.28,1,282.43,Van,Sun,West,4986.02
148,Highway,285.95,142.85,0,18.92,Bike,Sat,South,3081.13
149,Urban,226.35,486.05,1,95.38,Truck,Sat,South,2885.68
150,Urban,152.53,774.82,1,118.88,Bike,Mon,West,3807.46
151,Rural,871.81,889.45,1,207.2,Truck,Wed,North,1677.64
152,Urban,943.66,128.0,1,11.53,Van,Sat,South,1303.3
153,Highway,551.02,987.65,1,266.93,Truck,Sun,East,4198.32
154,Highway,805.44,748.65,0,197.73,Van,Sun,East,4804.73
155,Urban,1183.66,819.25,1,82.51,Truck,Fri,North,2135.97
156,Highway,1228.07,1254.21,1,197.5,Bike,Thu,North,254.26
157,Highway,1437.08,533.07,1,161.08,Van,Wed,West,936.85
158,Urban,1237.28,285.86,1,100.88,Truck,Thu,West,4292.06
159,Urban,849.44,841.16,1,8.58,Bike,Thu,South,652.14
160,Highway,273.59,1419.18,1,165.33,Truck,Mon,North,3826.88
161,Highway,154.15,791.27,1,24.65,Truck,Thu,South,3120.21
162,Highway,86.5,1252.91,0,243.05,Truck,Sun,West,3647.33
163,Rural,1001.46,1142.84,1,26.56,Van,Mon,South,1320.12
164,Rural,1212.27,791.95,1,128.62,Van,Thu,South,140.73
165,Rural,765.48,981.91,1,130.37,Bike,Sat,South,246.78
166,Urban,86.8,627.82,1,166.86,Truck,Sun,North,3638.01
167,Rural,805.53,810.02,1,11.85,Truck,Fri,East,3086.32
168,Urban,1403.95,775.71,0,61.15,Van,Thu,North,4210.24
169,Urban,898.43,1072.39,1,59.85,Van,Tue,South,2026.27
170,Rural,1215.09,632.67,1,179.69,Truck,Mon,West,2799.98
171,Rural,1201.23,176.66,0,79.09,Truck,Fri,East,3928.35
172,Rural,1398.53,1189.4,1,43.26,Truck,Mon,South,2508.42
173,Highway,1156.49,1036.73,1,5.51,Van,Fri,South,4967.08
174,Rural,1122.81,1426.68,1,252.16,Truck,Mon,West,3727.31
175,Highway,354.98,660.21,0,291.46,Truck,Sun,South,3432.39
176,Urban,94.59,144.96,1,210.98,Van,Tue,South,4017.58
177,Highway,778.81,208.78,1,123.81,Van,Sat,East,3897.09
178,Rural,191.03,1166.78,0,36.6,Van,Tue,North,1137.49
179,Urban,1443.48,129.6,1,142.53,Van,Sun,West,1091.4
180,Urban,438.44,1364.5,1,137.2,Truck,Fri,West,3050.07
181,Urban,1280.15,444.03,1,125.96,Van,Wed,West,2208.44
182,Highway,584.5,1351.35,1,113.49,Van,Mon,North,4364.3
183,Rural,488.18,1167.06,1,149.03,Truck,Wed,North,1486.01
184,Urban,1403.06,1310.67,1,21.95,Bike,Thu,East,1687.75
185,Urban,548.17,344.64,1,11.49,Truck,Tue,East,873.25
186,Urban,588.48,905.67,1,19.19,Truck,Sun,West,4909.62
187,Highway,163.61,167.58,1,60.0,Truck,Mon,North,624.43
188,Highway,1007.32,327.35,1,83.42,Truck,Tue,East,4915.35
189,Rural,436.81,485.56,1,50.84,Truck,Thu,South,3546.64
190,Highway,880.48,1118.99,0,75.58,Truck,Sat,North,491.3
191,Urban,889.07,66.33,1,55.75,Truck,Fri,South,802.48
192,Rural,1080.2,1357.58,1,45.22,Bike,Mon,East,1668.51
193,Urban,1119.14,134.08,1,87.89,Truck,Sun,South,1338.71
194,Urban,774.11,583.44,1,119.25,Truck,Mon,East,4866.99
195,Highway,499.83,149.2,1,223.28,Truck,Mon,West,3086.04
196,Rural,1256.99,1160.38,1,286.66,Truck,Fri,West,418.23
197,Highway,468.25,237.73,0,275.69,Truck,Tue,West,2650.75
198,Highway,763.73,1330.59,0,142.78,Bike,Fri,North,4490.84
199,Rural,604.87,809.43,0,138.4,Van,Sat,North,2110.1
200,Urban,1283.34,1424.26,0,37.71,Van,Tue,West,3347.35
201,Urban,650.72,456.83,1,291.52,Truck,Sat,North,3877.3
202,Rural,582.22,697.84,1,228.03,Bike,Mon,East,965.89
203,Urban,1036.29,1050.54,1,254.27,Bike,Fri,South,4284.73
204,Rural,905.65,1252.91,1,70.25,Bike,Sat,East,2271.66
205,Rural,165.33,649.39,1,120.33,Van,Sun,West,330.61
206,Highway,764.71,1341.88,1,30.79,Van,Sun,South,4400.57
207,Rural,1104.54,203.44,1,282.24,Bike,Sun,East,2843.55
208,Highway,1488.15,1071.77,1,85.75,Van,Thu,South,1031.69
209,Urban,945.57,541.85,0,178.8,Van,Fri,North,1621.38
210,Urban,558.59,178.96,1,45.67,Truck,Tue,South,2868.4
211,Urban,343.1,598.4,1,240.84,Truck,Mon,South,1902.16
212,Urban,1309.88,1323.92,1,55.9,Truck,Tue,West,1205.24
213,Highway,1222.77,1471.38,1,242.82,Bike,Wed,North,2422.59
214,Urban,354.71,607.42,1,120.53,Truck,Mon,East,965.98
215,Rural,304.94,1333.03,0,173.33,Bike,Thu,West,1264.63
216,Rural,1074.13,779.19,1,80.91,Truck,Thu,South,4142.33
217,Rural,475.85,1084.01,1,264.83,Bike,Wed,East,1181.28
218,Highway,463.07,96.7,1,227.96,Van,Tue,South,3492.07
219,Urban,232.67,849.25,1,106.28,Bike,Sun,South,1289.83
220,Urban,399.64,133.14,0,175.61,Van,Thu,East,1101.37
221,Urban,644.12,424.87,1,38.7,Truck,Tue,South,1293.22
222,Highway,1100.59,863.22,1,48.14,Van,Mon,South,2368.07
223,Rural,507.78,1216.53,1,160.1,Van,Fri,East,774.08
224,Rural,496.26,854.51,0,192.18,Truck,Sun,East,577.73
225,Urban,430.95,1406.2,1,167.23,Bike,Mon,West,3795.87
226,Rural,720.03,1221.19,0,167.82,Bike,Tue,East,165.34
227,Rural,275.05,259.67,1,222.69,Bike,Sat,West,1958.15
228,Highway,731.02,601.77,1,270.72,Truck,Wed,East,2010.37
229,Highway,1057.74,1012.67,1,116.28,Bike,Sat,West,4470.55
230,Highway,49.54,1409.46,1,161.08,Van,Mon,West,3883.73
231,Highway,19.62,1481.94,0,267.91,Truck,Sun,South,2577.85
232,Urban,117.31,1151.88,1,139.28,Bike,Thu,North,2425.07
233,Highway,805.81,873.44,0,133.54,Van,Sun,East,2849.73
234,Rural,1282.41,1142.22,1,229.95,Van,Mon,East,1821.25
235,Urban,12.3,431.66,0,263.19,Bike,Mon,South,3518.85
236,Rural,1405.31,446.9,1,221.3,Truck,Mon,North,3446.05
237,Rural,163.89,991.89,1,30.04,Van,Wed,North,2894.54
238,Rural,1263.77,1311.6,1,139.43,Van,Sun,East,335.58
239,Highway,726.87,1455.62,1,63.59,Van,Tue,East,677.85
240,Highway,990.74,531.76,1,95.2,Van,Wed,West,244.42
241,Urban,768.47,1200.93,1,140.63,Bike,Thu,North,3606.65
242,Urban,718.19,1281.75,1,66.46,Truck,Sun,North,2414.12
243,Highway,1253.17,946.06,1,154.78,Van,Tue,West,4777.16
244,Rural,1135.05,540.96,1,192.98,Van,Thu,West,4764.03
245,Urban,727.69,940.06,1,262.47,Van,Sun,East,4000.95
246,Highway,171.9,889.14,1,63.44,Truck,Tue,North,2243.09
247,Highway,177.53,921.59,1,93.17,Van,Tue,South,1615.93
248,Highway,1203.3,940.31,0,121.74,Truck,Sat,West,1044.82
249,Rural,796.44,1275.18,1,67.36,Truck,Mon,North,1200.85
250,Highway,724.98,280.02,1,99.61,Truck,Mon,North,4952.08
251,Highway,1022.45,569.92,1,265.01,Truck,Wed,North,2675.23
252,Highway,1288.97,891.42,1,41.6,Bike,Tue,North,110.65
253,Highway,945.17,446.49,1,133.12,Bike,Thu,West,269.25
254,Urban,1145.46,1467.89,1,93.29,Bike,Mon,South,2320.89
255,Urban,1149.08,416.83,1,23.15,Van,Sat,South,2245.23
256,Highway,537.61,720.35,1,28.84,Truck,Thu,West,2057.52
257,Rural,414.75,1319.73,1,235.46,Truck,Sat,North,4126.84
258,Urban,1202.74,147.69,1,255.7,Bike,Mon,West,3530.62
259,Highway,568.88,1236.41,0,222.42,Bike,Tue,West,581.71
260,Urban,1355.49,869.38,0,161.77,Truck,Thu,North,1845.26
261,Urban,109.19,76.75,1,231.8,Bike,Wed,West,3003.57
262,Rural,92.04,1357.28,1,45.6,Van,Sun,West,1943.32
263,Highway,1390.87,87.62,1,234.06,Van,Wed,North,1081.11
264,Highway,974.44,787.37,1,127.04,Van,Wed,South,3158.86
265,Rural,572.5,102.08,1,225.09,Truck,Mon,West,3031.13
266,Rural,1133.82,134.66,1,68.32,Bike,Mon,East,4874.32
267,Highway,1010.13,1334.19,1,249.76,Van,Wed,North,2827.3
268,Highway,799.15,1155.76,1,170.43,Van,Thu,East,4377.77
269,Rural,152.82,319.5,1,2.2,Van,Mon,West,4748.52
270,Urban,1219.21,942.09,1,155.78,Van,Wed,South,2202.18
271,Urban,1299.7,1198.18,0,93.08,Van,Mon,West,311.82
272,Rural,262.39,1337.7,1,17.25,Bike,Fri,North,760.3
273,Urban,1276.51,718.41,1,134.19,Van,Thu,South,2544.65
274,Rural,1317.38,1349.32,1,93.44,Van,Tue,West,4470.14
275,Urban,826.4,776.54,1,61.32,Van,Thu,North,3287.95
276,Urban,985.99,1041.7,0,104.74,Truck,Sun,East,1047.33
277,Highway,576.44,1469.17,1,53.88,Bike,Tue,West,3520.17
278,Highway,426.28,376.85,1,89.94,Van,Wed,East,4476.39
279,Urban,1084.36,277.73,1,34.6,Bike,Mon,North,199.62
280,Urban,1293.5,532.77,1,25.29,Van,Wed,North,1251.92
281,Highway,982.85,271.67,1,273.01,Truck,Sat,East,808.25
282,Highway,769.83,447.72,1,270.83,Truck,Tue,South,3931.31
283,Highway,242.59,1122.19,1,248.4,Truck,Fri,West,4462.81
284,Rural,84.92,731.96,1,69.1,Truck,Tue,North,2795.06
285,Urban,671.31,581.31,1,217.77,Van,Mon,South,4248.6
286,Highway,78.78,572.02,0,176.91,Bike,Fri,North,3301.84
287,Urban,856.16,315.96,1,15.37,Van,Mon,North,3300.66
288,Rural,577.18,687.69,1,269.88,Truck,Fri,North,2919.56
289,Rural,1137.0,948.21,1,299.39,Truck,Mon,East,297.59
290,Highway,461.94,234.56,1,212.62,Van,Tue,East,4688.04
291,Rural,891.51,1460.03,1,69.45,Van,Tue,North,1811.07
292,Urban,808.84,681.62,1,166.32,Bike,Tue,West,4022.76
293,Highway,12.05,1423.5,1,32.81,Bike,Tue,South,4059.42
294,Urban,113.22,227.95,0,89.63,Bike,Fri,North,4830.52
295,Urban,439.1,1157.81,1,215.18,Bike,Sun,South,1667.16
296,Rural,1323.94,937.93,1,90.32,Truck,Thu,North,4987.13
297,Rural,224.79,1235.49,1,44.16,Truck,Thu,South,1537.84
298,Rural,1067.79,913.0,1,2.24,Bike,Sun,West,2284.28
299,Rural,1460.18,1445.37,0,171.75,Bike,Wed,South,3545.94
300,Rural,1186.9,951.59,1,290.6,Truck,Thu,North,817.19
301,Highway,368.2,1183.37,1,145.24,Truck,Wed,West,1368.55
302,Urban,1363.01,1320.05,1,63.78,Truck,Tue,North,3654.16
303,Urban,144.2,1080.44,1,138.98,Bike,Mon,North,4873.2
304,Urban,704.87,800.63,1,180.63,Bike,Thu,East,3677.35
305,Urban,1331.88,431.04,1,240.41,Truck,Thu,South,4318.38
306,Rural,963.69,1286.1,1,135.8,Truck,Tue,North,235.56
307,Urban,623.4,736.45,1,51.89,Van,Tue,West,2906.28
308,Highway,442.76,942.44,0,56.4,Van,Thu,West,4574.75
309,Highway,565.77,146.46,0,269.92,Truck,Tue,West,3427.87
310,Urban,765.87,761.11,1,70.87,Truck,Thu,East,3398.49
311,Urban,481.97,1056.29,0,218.41,Van,Mon,North,1055.05
312,Highway,1453.61,888.59,1,80.68,Bike,Sat,West,4312.65
313,Highway,1399.95,689.38,1,216.17,Truck,Mon,East,4331.97
314,Rural,1306.65,358.44,1,23.51,Truck,Wed,West,3089.33
315,Highway,635.64,485.22,0,62.22,Truck,Thu,East,2161.76
316,Rural,1038.5,1059.92,1,122.61,Bike,Sat,South,4130.15
317,Rural,1354.73,359.56,1,154.59,Van,Mon,North,2351.73
318,Rural,1276.39,943.94,1,105.89,Bike,Sat,West,4121.94
319,Rural,624.42,896.91,1,172.05,Bike,Sun,East,2450.33
320,Rural,173.02,1456.51,1,97.61,Truck,Mon,North,2919.98
321,Urban,118.07,119.35,1,203.53,Truck,Sun,South,3752.71
322,Highway,867.71,188.94,0,153.36,Van,Sun,East,1361.72
323,Rural,965.73,773.94,1,211.53,Bike,Fri,West,1271.88
324,Highway,1275.51,804.85,1,129.29,Van,Sat,North,3355.81
325,Highway,442.31,88.69,1,262.95,Bike,Mon,South,4771.87
326,Rural,255.37,1244.01,1,114.64,Truck,Wed,South,2257.87
327,Urban,571.61,757.24,1,92.44,Van,Mon,East,4496.1
328,Rural,533.59,539.57,1,167.13,Bike,Tue,South,2615.03
329,Urban,203.04,498.72,1,152.75,Truck,Fri,West,4870.96
330,Highway,1010.06,1296.27,1,155.43,Truck,Thu,East,3970.63
331,Urban,765.49,319.2,1,238.84,Bike,Wed,South,4304.81
332,Urban,1083.08,265.81,1,176.58,Truck,Sat,North,3414.04
333,Urban,532.27,343.37,1,265.58,Bike,Sat,West,4349.04
334,Highway,491.92,948.78,1,185.73,Bike,Mon,North,2984.35
335,Highway,711.5,1222.07,1,6.51,Bike,Thu,South,2858.32
336,Urban,1316.72,516.54,1,261.12,Bike,Mon,West,4374.87
337,Urban,65.22,284.99,1,251.94,Truck,Fri,North,124.58
338,Rural,1208.23,337.52,1,14.65,Bike,Sun,South,2419.96
339,Urban,556.64,940.2,0,37.59,Bike,Thu,West,4356.87
340,Rural,1282.66,391.67,0,166.91,Bike,Tue,West,1020.94
341,Urban,1204.29,1319.6,1,12.86,Truck,Sat,West,4792.15
342,Rural,526.4,182.72,1,123.35,Van,Tue,South,3715.98
343,Highway,1042.35,77.58,1,292.61,Bike,Sat,South,3823.99
344,Urban,243.65,159.92,1,51.83,Van,Thu,West,3344.11
345,Urban,1344.94,1273.1,1,61.83,Van,Tue,West,2265.0
346,Urban,609.71,987.31,1,202.9,Bike,Wed,West,2331.73
347,Urban,686.16,1437.88,1,13.19,Van,Sat,South,4203.59
348,Rural,1060.11,524.36,1,246.21,Van,Fri,East,738.74
349,Urban,1232.16,342.64,1,59.71,Bike,Wed,North,2634.23
350,Highway,358.33,856.1,1,159.47,Truck,Thu,North,1584.24
351,Highway,993.72,820.61,1,74.63,Van,Wed,North,4922.37
352,Urban,591.04,898.81,1,197.66,Bike,Sat,East,68.28
353,Highway,556.21,540.87,1,176.16,Bike,Fri,South,365.19
354,Urban,1036.59,38.67,1,283.93,Van,Fri,West,4838.57
355,Urban,583.84,81.5,1,133.68,Van,Sat,West,2741.77
356,Highway,522.43,1005.82,1,262.46,Van,Sun,East,735.75
357,Urban,1254.65,799.19,0,172.75,Bike,Thu,North,2270.77
358,Highway,156.41,1236.89,1,274.34,Bike,Sat,South,1647.15
359,Rural,1015.46,471.6,0,87.55,Truck,Wed,South,4560.48
360,Urban,376.84,1228.74,1,164.93,Truck,Sat,South,3453.52
361,Rural,28.17,655.47,0,117.01,Bike,Fri,West,696.07
362,Highway,254.31,172.15,1,19.77,Truck,Thu,North,2705.41
363,Rural,911.96,1467.53,1,172.28,Van,Sat,North,715.58
364,Rural,1065.15,782.55,1,238.27,Truck,Fri,East,3342.89
365,Highway,36.48,955.33,1,166.86,Truck,Sat,North,3649.78
366,Rural,59.46,1016.07,1,83.8,Bike,Mon,West,2832.69
367,Rural,1354.3,562.75,1,79.15,Bike,Mon,West,4831.48
368,Highway,114.59,1128.87,1,71.35,Van,Fri,South,4724.46
369,Rural,1341.8,1309.29,1,293.89,Truck,Thu,South,1069.28
370,Highway,346.11,599.16,1,119.77,Bike,Mon,North,51.63
371,Rural,1111.33,995.79,1,95.06,Bike,Fri,South,3330.61
372,Highway,468.05,1142.97,1,125.54,Bike,Sat,South,2404.43
373,Highway,1288.83,309.49,1,34.74,Van,Tue,East,1706.56
374,Rural,1052.18,518.92,1,58.81,Van,Sat,South,4588.6
375,Rural,605.71,189.93,1,152.67,Truck,Wed,South,4893.61
376,Rural,119.07,915.25,1,239.65,Van,Fri,North,4656.36
377,Urban,1100.39,1207.38,1,262.93,Truck,Sun,North,2525.97
378,Urban,927.24,927.93,1,259.8,Truck,Mon,South,3531.62
379,Urban,9.35,294.28,1,283.43,Truck,Fri,East,899.29
380,Highway,19.08,833.16,1,37.73,Bike,Sat,West,4756.74
381,Rural,1214.15,1257.35,0,12.29,Bike,Sun,West,1454.2
382,Highway,392.8,475.01,0,31.72,Bike,Thu,West,1004.06
383,Urban,956.02,1254.0,1,180.22,Van,Mon,East,347.78
384,Rural,684.05,1183.4,0,166.84,Bike,Thu,South,2774.34
385,Highway,1295.83,61.96,1,201.36,Truck,Thu,West,4744.9
386,Rural,1375.86,382.0,1,111.33,Van,Sat,South,721.16
387,Highway,1495.23,828.13,1,117.48,Van,Thu,South,648.11
388,Rural,234.76,1084.9,0,163.67,Bike,Sun,South,1399.36
389,Urban,1295.13,1324.38,0,23.72,Bike,Sun,West,3343.7
390,Urban,402.7,972.33,1,239.96,Bike,Fri,East,2761.68
391,Rural,888.27,589.11,1,276.86,Bike,Mon,East,526.22
392,Highway,761.13,301.4,1,116.2,Van,Thu,East,2239.39
393,Urban,31.89,1147.25,1,221.87,Van,Tue,East,381.31
